"","start","end","distance"
"825","53AK","PAWD",52
"826","54AK","PAWD",89
"827","55AK","PAWD",83
"828","56AK","PAWD",87
"829","57AK","PAWD",75
"830","58AK","PAWD",86
"831","59AK","PAWD",91
"832","5AK5","PAWD",92
"833","5AK6","PAWD",86
"834","5AK8","PAWD",91
"835","5AK9","PAWD",86
"836","5HO","PAWD",47
"837","5KS","PAWD",57
"838","5L6","PAWD",88
"839","62AK","PAWD",87
"840","63AK","PAWD",89
"841","64AK","PAWD",81
"842","65AK","PAWD",86
"843","6AK2","PAWD",70
"844","6AK3","PAWD",66
"845","6AK5","PAWD",66
"846","6AK7","PAWD",87
"847","6AK8","PAWD",90
"848","6AK9","PAWD",91
"849","6Z1","PAWD",64
"850","71AK","PAWD",84
"851","78Z","PAWD",95
"852","7AK3","PAWD",56
"853","7AK4","PAWD",85
"854","7AK5","PAWD",51
"855","7AK6","PAWD",50
"856","7AK8","PAWD",90
"857","7AK9","PAWD",92
"858","87AK","PAWD",92
"859","88AK","PAWD",50
"860","89AK","PAWD",86
"861","8AK2","PAWD",66
"862","8AK4","PAWD",49
"863","8AK6","PAWD",79
"864","8AK8","PAWD",91
"865","99Z","PAWD",89
"866","9AK5","PAWD",61
"867","9AK6","PAWD",90
"868","9AK7","PAWD",89
"869","9AK8","PAWD",90
"870","9Z9","PAWD",17
"871","A13","PAWD",74
"872","A89","PAWD",83
"873","AK08","PAWD",102
"874","AK1","PAWD",85
"875","AK12","PAWD",60
"876","AK17","PAWD",59
"877","AK24","PAWD",78
"878","AK25","PAWD",90
"879","AK27","PAWD",91
"880","AK34","PAWD",105
"881","AK39","PAWD",41
"882","AK46","PAWD",91
"883","AK50","PAWD",86
"884","AK53","PAWD",88
"885","AK65","PAWD",89
"886","AK72","PAWD",101
"887","AK73","PAWD",67
"888","AK83","PAWD",90
"889","AK90","PAWD",99
"890","AK92","PAWD",59
"891","AK95","PAWD",87
"892","AQY","PAWD",51
"893","BGQ","PAWD",85
"894","BLG","PAWD",79
"895","C05","PAWD",43
"896","CSR","PAWD",63
"897","JLA","PAWD",23
"898","JVM","PAWD",98
"899","L85","PAWD",53
"900","LHD","PAWD",65
"901","PAAQ","PAWD",89
"902","PABV","PAWD",78
