"","start","end","distance"
"2921","KFSK","KMHK",120
"2922","KFSW","KMHK",263
"2923","KFTG","KMHK",368
"2924","KFTK","KMHK",509
"2925","KFTT","KMHK",219
"2926","KFWA","KMHK",540
"2927","KFWC","KMHK",390
"2928","KGBD","KMHK",113
"2929","KGBG","KMHK",307
"2930","KGCK","KMHK",204
"2931","KGEZ","KMHK",506
"2932","KGFD","KMHK",509
"2933","KGGF","KMHK",255
"2934","KGGP","KMHK",484
"2935","KGJT","KMHK",553
"2936","KGLD","KMHK",235
"2937","KGLY","KMHK",148
"2938","KGNB","KMHK",432
"2939","KGPH","KMHK",111
"2940","KGRE","KMHK",342
"2941","KGRI","KMHK",133
"2942","KGTE","KMHK",193
"2943","KGUC","KMHK",482
"2944","KGUS","KMHK",494
"2945","KGVW","KMHK",100
"2946","KGWS","KMHK",496
"2947","KGXY","KMHK",376
"2948","KHAE","KMHK",245
"2949","KHDE","KMHK",146
"2950","KHDN","KMHK",494
"2951","KHEQ","KMHK",273
"2952","KHFY","KMHK",493
"2953","KHHG","KMHK",527
"2954","KHIG","KMHK",140
"2955","KHJH","KMHK",74
"2956","KHLC","KMHK",148
"2957","KHNB","KMHK",459
"2958","KHQG","KMHK",252
"2959","KHRU","KMHK",28
"2960","KHSB","KMHK",391
"2961","KHSI","KMHK",120
"2962","KHUF","KMHK",436
"2963","KHUT","KMHK",85
"2964","KHYS","KMHK",123
"2965","KIAB","KMHK",95
"2966","KICL","KMHK",121
"2967","KICT","KMHK",96
"2968","KIDP","KMHK",126
"2969","KIJX","KMHK",301
"2970","KIKK","KMHK",422
"2971","KIML","KMHK",243
"2972","KIMS","KMHK",525
"2973","KIND","KMHK",483
"2974","KIRK","KMHK",200
"2975","KITR","KMHK",262
"2976","KIWH","KMHK",511
"2977","KIXD","KMHK",85
"2978","KJEF","KMHK",214
"2979","KJLN","KMHK",157
"2980","KJVY","KMHK",515
"2981","KJYR","KMHK",114
"2982","KLAA","KMHK",290
"2983","KLAF","KMHK",456
"2984","KLBF","KMHK",220
"2985","KLBO","KMHK",210
"2986","KLHX","KMHK",328
"2987","KLIC","KMHK",326
"2988","KLLU","KMHK",149
"2989","KLNK","KMHK",103
"2990","KLOU","KMHK",520
"2991","KLQR","KMHK",127
"2992","KLWC","KMHK",68
"2993","KLWD","KMHK",156
"2994","KLWV","KMHK",425
"2995","KLXN","KMHK",174
"2996","KLXT","KMHK",108
"2997","KLXV","KMHK",450
"2998","KLYO","KMHK",87
"2999","KMBY","KMHK",199
"3000","KMCI","KMHK",92
"3001","KMCK","KMHK",193
"3002","KMCX","KMHK",466
"3003","KMDH","KMHK",359
"3004","KMEJ","KMHK",207
"3005","KMHK","KMHL",162
"3006","KMHK","KMIE",526
"3007","KMHK","KMKC",97
"3008","KMHK","KMPR",67
"3009","KMHK","KMPZ",261
"3010","KMHK","KMQB",290
"3011","KMHK","KMQJ",502
"3012","KMHK","KMTJ",527
"3013","KMHK","KMTO",391
"3014","KMHK","KMVI",453
"3015","KMHK","KMVN",370
"3016","KMHK","KMWA",370
"3017","KMHK","KMYZ",43
"3018","KMHK","KMZZ",514
"3019","KMHK","KNRN",156
"3020","KMHK","KNVD",136
"3021","KMHK","KOEA",428
"3022","KMHK","KOEL",194
"3023","KMHK","KOFF",124
"3024","KMHK","KOGA",263
"3025","KMHK","KOIN",184
"3026","KMHK","KOJC",92
"3027","KMHK","KOKK",497
"3028","KMHK","KOLY",398
"3029","KMHK","KOTM",227
"3030","KMHK","KOVO",517
"3031","KMHK","KOWB",456
"3032","KMHK","KOWI",76
"3033","KMHK","KOXD",553
"3034","KMHK","KPHG",128
"3035","KMHK","KPIA",335
"3036","KMHK","KPJY",351
"3037","KMHK","KPLD",545
"3038","KMHK","KPMV",114
"3039","KMHK","KPNT",386
"3040","KMHK","KPPF",122
"3041","KMHK","KPPQ",276
"3042","KMHK","KPRG",420
"3043","KMHK","KPTS",137
"3044","KMHK","KPTT",130
"3045","KMHK","KPUB",371
"3046","KMHK","KRCR",496
"3047","KMHK","KRDK",130
"3048","KMHK","KRID",551
"3049","KMHK","KRIL",515
"3050","KMHK","KRPB",61
"3051","KMHK","KRSL",101
"3052","KMHK","KRSV",421
"3053","KMHK","KRWN",477
"3054","KMHK","KRZL",450
"3055","KMHK","KSAR",333
"3056","KMHK","KSBS",478
"3057","KMHK","KSDA",113
"3058","KMHK","KSDF",517
"3059","KMHK","KSER",503
"3060","KMHK","KSET",292
"3061","KMHK","KSGF",192
"3062","KMHK","KSIV",430
"3063","KMHK","KSLN",50
"3064","KMHK","KSLO",362
"3065","KMHK","KSNY",313
"3066","KMHK","KSPI",327
"3067","KMHK","KSTJ",90
"3068","KMHK","KSTK",317
"3069","KMHK","KSTL",296
"3070","KMHK","KSUS",283
"3071","KMHK","KSWT",105
"3072","KMHK","KSYF",241
"3073","KMHK","KSZL",148
"3074","KMHK","KTAD",380
"3075","KMHK","KTAZ",343
"3076","KMHK","KTBN",229
"3077","KMHK","KTEL",474
"3078","KMHK","KTEX",533
"3079","KMHK","KTIP",401
"3080","KMHK","KTKO",82
"3081","KMHK","KTOP",49
"3082","KMHK","KTQK",202
"3083","KMHK","KTRX",154
"3084","KMHK","KTVK",197
"3085","KMHK","KTYQ",486
"3086","KMHK","KUBX",255
"3087","KMHK","KUIN",259
"3088","KMHK","KUKL",67
"3089","KMHK","KULS",240
"3090","KMHK","KUMP",495
"3091","KMHK","KUUV",264
"3092","KMHK","KUWL",528
"3093","KMHK","KVER",187
"3094","KMHK","KVIH",238
"3095","KMHK","KVLA",351
"3096","KMHK","KWLD",119
"3097","KMHK","LL13",399
"3098","KMHK","LL18",309
"3099","KMHK","LL20",298
"3100","KMHK","LL23",290
"3101","KMHK","LL26",323
"3102","KMHK","LL32",405
"3103","KMHK","LL34",345
"3104","KMHK","LL45",320
"3105","KMHK","LL46",406
"3106","KMHK","LL49",299
"3107","KMHK","LL56",387
"3108","KMHK","LL72",402
"3109","KMHK","LL98",365
"3110","KMHK","M17",182
"3111","KMHK","M20",503
"3112","KMHK","M21",464
"3113","KMHK","M30",393
"3114","KMHK","M48",247
"3115","KMHK","M66",54
"3116","KMHK","M71",267
"3117","KMHK","MO01",203
"3118","KMHK","MO02",246
"3119","KMHK","MO03",289
"3120","KMHK","MO04",227
"3121","KMHK","MO07",252
"3122","KMHK","MO08",159
"3123","KMHK","MO09",229
"3124","KMHK","MO1",215
"3125","KMHK","MO10",206
"3126","KMHK","MO11",238
"3127","KMHK","MO13",198
"3128","KMHK","MO14",244
"3129","KMHK","MO15",205
"3130","KMHK","MO16",168
"3131","KMHK","MO17",93
"3132","KMHK","MO18",114
"3133","KMHK","MO2",204
"3134","KMHK","MO23",196
"3135","KMHK","MO24",84
"3136","KMHK","MO25",130
"3137","KMHK","MO26",109
"3138","KMHK","MO27",121
"3139","KMHK","MO29",112
"3140","KMHK","MO3",161
"3141","KMHK","MO34",178
"3142","KMHK","MO35",268
"3143","KMHK","MO36",269
"3144","KMHK","MO37",110
"3145","KMHK","MO39",263
"3146","KMHK","MO42",225
"3147","KMHK","MO43",245
"3148","KMHK","MO45",239
"3149","KMHK","MO46",257
"3150","KMHK","MO51",87
"3151","KMHK","MO52",173
"3152","KMHK","MO53",143
"3153","KMHK","MO59",270
"3154","KMHK","MO6",268
"3155","KMHK","MO60",108
"3156","KMHK","MO62",127
"3157","KMHK","MO66",209
"3158","KMHK","MO68",198
"3159","KMHK","MO71",107
"3160","KMHK","MO74",211
"3161","KMHK","MO75",133
"3162","KMHK","MO76",96
"3163","KMHK","MO78",235
"3164","KMHK","MO79",294
"3165","KMHK","MO8",174
"3166","KMHK","MO80",237
"3167","KMHK","MO81",299
"3168","KMHK","MO82",227
"3169","KMHK","MO83",185
"3170","KMHK","MO84",275
"3171","KMHK","MO85",214
"3172","KMHK","MO86",251
"3173","KMHK","MO87",118
"3174","KMHK","MO88",218
"3175","KMHK","MO89",188
"3176","KMHK","MO93",195
"3177","KMHK","MO94",100
"3178","KMHK","MO95",141
"3179","KMHK","MO96",289
"3180","KMHK","MO98",101
"3181","KMHK","MO99",180
"3182","KMHK","MU00",221
"3183","KMHK","MU02",261
"3184","KMHK","MU03",123
"3185","KMHK","MU07",119
"3186","KMHK","MU09",110
"3187","KMHK","MU11",180
"3188","KMHK","MU16",143
"3189","KMHK","MU17",212
"3190","KMHK","MU18",259
"3191","KMHK","MU19",181
"3192","KMHK","MU20",127
"3193","KMHK","MU21",244
"3194","KMHK","MU23",200
"3195","KMHK","MU25",245
"3196","KMHK","MU27",164
"3197","KMHK","MU32",198
"3198","KMHK","MU33",209
"3199","KMHK","MU34",272
"3200","KMHK","MU35",110
"3201","KMHK","MU38",175
"3202","KMHK","MU40",218
"3203","KMHK","MU42",276
"3204","KMHK","MU55",132
"3205","KMHK","MU62",103
"3206","KMHK","MU63",199
"3207","KMHK","MU65",304
"3208","KMHK","MU68",242
"3209","KMHK","MU69",162
"3210","KMHK","MU71",85
"3211","KMHK","MU84",115
"3212","KMHK","MU85",119
"3213","KMHK","MU86",245
"3214","KMHK","MU89",264
"3215","KMHK","MU97",90
"3216","KMHK","NE01",100
"3217","KMHK","NE04",96
"3218","KMHK","NE08",259
"3219","KMHK","NE15",115
"3220","KMHK","NE18",108
"3221","KMHK","NE20",66
"3222","KMHK","NE24",114
"3223","KMHK","NE29",136
"3224","KMHK","NE30",153
"3225","KMHK","NE33",94
"3226","KMHK","NE34",311
"3227","KMHK","NE35",68
"3228","KMHK","NE38",128
"3229","KMHK","NE39",108
"3230","KMHK","NE40",95
"3231","KMHK","NE42",107
"3232","KMHK","NE45",93
"3233","KMHK","NE48",131
"3234","KMHK","NE49",117
"3235","KMHK","NE51",91
"3236","KMHK","NE52",71
"3237","KMHK","NE53",87
"3238","KMHK","NE57",58
"3239","KMHK","NE59",102
"3240","KMHK","NE64",118
"3241","KMHK","NE65",99
"3242","KMHK","NE73",240
"3243","KMHK","NE77",115
"3244","KMHK","NE79",91
"3245","KMHK","NE80",92
"3246","KMHK","NE82",112
"3247","KMHK","NE86",107
"3248","KMHK","NE87",86
"3249","KMHK","NE88",113
"3250","KMHK","NE92",54
"3251","KMHK","OA6",114
"3252","KMHK","OH68",556
"3253","KMHK","OI26",557
"3254","KMHK","OI30",559
"3255","KMHK","OI84",553
"3256","KMHK","OMU9",173
"3257","KMHK","OTN",429
"3258","KMHK","Q39",490
"3259","KMHK","SN00",45
"3260","KMHK","SN02",250
"3261","KMHK","SN03",158
"3262","KMHK","SN04",45
"3263","KMHK","SN05",77
"3264","KMHK","SN07",89
"3265","KMHK","SN08",83
"3266","KMHK","SN09",47
"3267","KMHK","SN10",108
"3268","KMHK","SN12",209
"3269","KMHK","SN13",103
"3270","KMHK","SN14",69
"3271","KMHK","SN16",82
"3272","KMHK","SN18",90
"3273","KMHK","SN19",93
"3274","KMHK","SN20",87
"3275","KMHK","SN21",67
"3276","KMHK","SN22",80
"3277","KMHK","SN23",104
"3278","KMHK","SN24",66
"3279","KMHK","SN25",253
"3280","KMHK","SN26",97
"3281","KMHK","SN27",81
"3282","KMHK","SN28",61
"3283","KMHK","SN29",146
"3284","KMHK","SN32",107
"3285","KMHK","SN33",27
"3286","KMHK","SN34",102
"3287","KMHK","SN36",112
"3288","KMHK","SN37",45
"3289","KMHK","SN39",46
"3290","KMHK","SN40",100
"3291","KMHK","SN41",131
"3292","KMHK","SN42",77
"3293","KMHK","SN43",60
"3294","KMHK","SN44",116
"3295","KMHK","SN45",68
"3296","KMHK","SN46",78
"3297","KMHK","SN47",35
"3298","KMHK","SN48",131
"3299","KMHK","SN49",69
"3300","KMHK","SN51",177
"3301","KMHK","SN52",101
"3302","KMHK","SN53",108
"3303","KMHK","SN55",211
"3304","KMHK","SN57",69
"3305","KMHK","SN58",76
"3306","KMHK","SN59",84
"3307","KMHK","SN61",100
"3308","KMHK","SN62",86
"3309","KMHK","SN63",147
"3310","KMHK","SN64",96
"3311","KMHK","SN65",103
"3312","KMHK","SN66",178
"3313","KMHK","SN67",108
"3314","KMHK","SN68",81
"3315","KMHK","SN69",120
"3316","KMHK","SN70",128
"3317","KMHK","SN71",126
"3318","KMHK","SN72",77
"3319","KMHK","SN75",76
"3320","KMHK","SN76",93
"3321","KMHK","SN77",262
"3322","KMHK","SN78",95
"3323","KMHK","SN81",84
"3324","KMHK","SN83",80
"3325","KMHK","SN84",79
"3326","KMHK","SN85",77
"3327","KMHK","SN86",224
"3328","KMHK","SN87",230
"3329","KMHK","SN88",98
"3330","KMHK","SN89",98
"3331","KMHK","SN90",69
"3332","KMHK","SN91",67
"3333","KMHK","SN92",12
"3334","KMHK","SN93",44
"3335","KMHK","SN94",187
"3336","KMHK","SN95",107
"3337","KMHK","SN96",192
"3338","KMHK","SN97",240
"3339","KMHK","SN98",227
"3340","KMHK","SN99",16
"3341","KMHK","WY19",366
"3342","KMHK","Y46",127
"3343","0E1","C08",125
"3344","00V","C08",68
"3345","01V","C08",109
"3346","02CO","C08",39
"3347","04V","C08",38
"3348","05V","C08",37
"3349","07V","C08",34
"3350","09CO","C08",82
"3351","0CO2","C08",89
"3352","0CO3","C08",119
"3353","0CO5","C08",137
"3354","0CO9","C08",38
"3355","0V2","C08",45
"3356","14CO","C08",23
"3357","1CO7","C08",44
"3358","1CO8","C08",97
"3359","1V6","C08",28
"3360","1V8","C08",34
"3361","22CO","C08",76
"3362","23CO","C08",82
"3363","24N","C08",101
"3364","27CO","C08",92
"3365","2CO1","C08",76
"3366","2CO2","C08",47
"3367","2CO5","C08",40
"3368","2CO9","C08",80
"3369","2V1","C08",91
"3370","2V8","C08",79
"3371","32CO","C08",30
"3372","33CO","C08",57
"3373","34CO","C08",107
"3374","35CO","C08",85
"3375","36CO","C08",76
"3376","3CO4","C08",59
"3377","3CO7","C08",88
"3378","43CO","C08",88
"3379","46CO","C08",45
"3380","48V","C08",121
"3381","4CO0","C08",118
"3382","4CO7","C08",79
"3383","4CO8","C08",82
"3384","4V1","C08",34
"3385","50NM","C08",115
"3386","52CO","C08",74
"3387","59CO","C08",120
"3388","5CO3","C08",117
"3389","5CO4","C08",114
"3390","5CO5","C08",55
"3391","5CO6","C08",92
"3392","5V4","C08",80
"3393","60CO","C08",122
"3394","68CO","C08",125
"3395","6CO3","C08",85
"3396","6CO6","C08",91
"3397","76CO","C08",118
"3398","77CO","C08",87
"3399","7CO1","C08",45
"3400","7CO8","C08",37
"3401","7V1","C08",60
"3402","87CO","C08",110
"3403","88CO","C08",75
"3404","8CO4","C08",115
"3405","8CO9","C08",88
"3406","8V1","C08",50
"3407","92CO","C08",20
"3408","95CO","C08",79
"3409","96CO","C08",120
"3410","97CO","C08",79
"3411","98NM","C08",120
"3412","99CO","C08",27
"3413","9CO2","C08",109
"3414","A50","C08",69
"3415","C08","CD01",26
"3416","C08","CD09",117
"3417","C08","CD10",60
"3418","C08","CD13",134
"3419","C08","CD14",117
"3420","C08","CD17",128
"3421","C08","CD69",57
"3422","C08","CO02",105
"3423","C08","CO03",104
"3424","C08","CO07",111
"3425","C08","CO09",54
"3426","C08","CO10",119
"3427","C08","CO11",40
"3428","C08","CO12",122
"3429","C08","CO13",121
"3430","C08","CO14",117
"3431","C08","CO15",80
"3432","C08","CO17",116
"3433","C08","CO18",102
"3434","C08","CO19",26
"3435","C08","CO22",28
"3436","C08","CO38",115
"3437","C08","CO42",88
"3438","C08","CO47",121
"3439","C08","CO49",79
"3440","C08","CO52",94
"3441","C08","CO54",68
"3442","C08","CO56",125
"3443","C08","CO61",13
"3444","C08","CO65",5
"3445","C08","CO77",123
"3446","C08","CO80",63
"3447","C08","CO90",67
"3448","C08","CO92",127
"3449","C08","CO93",78
"3450","C08","CO96",87
"3451","C08","CO97",114
"3452","C08","CO98",94
"3453","C08","E32",131
"3454","C08","KAFF",63
"3455","C08","KALS",42
"3456","C08","KAPA",97
"3457","C08","KASE",101
"3458","C08","KAXX",95
"3459","C08","KBJC",114
"3460","C08","KBKF",105
"3461","C08","KCOS",57
"3462","C08","KDEN",116
"3463","C08","KEGE",122
"3464","C08","KFCS",49
"3465","C08","KFTG",113
"3466","C08","KGUC",80
"3467","C08","KGWS",128
"3468","C08","KLHX",88
"3469","C08","KLIC",110
"3470","C08","KLXV",85
"3471","C08","KMVI",43
"3472","C08","KPUB",45
"3473","C08","KRTN",87
"3474","C08","KSKX",94
"3475","C08","KTAD",67
"3476","C08","N24",73
"3477","C08","NM01",101
"3478","C08","NM15",138
"3479","C08","NM16",89
"3480","C08","NM24",86
"3481","C08","NM48",94
"3482","C08","NM67",82
"3483","C08","Q14",123
"3484","C08","Q39",75
"3485","C08","Q42",107
"3486","MMLC","MMMM",131
"3487","MMGL","MMMM",135
"3488","MMMM","MMZP",148
"3489","MM1I","MMMM",185
"3490","MMAA","MMMM",199
"3491","MMHC","MMMM",220
"3492","MMIO","MMMM",341
"3493","MM2H","MMMM",512
"3494","74TA","MMMM",517
"3495","MMMM","MMSD",525
